date,army_size,disease,wounds,other,disease_1000,wounds_1000,other_1000
Apr 1855,32252,477,48,57,177.5,17.9,21.2
May 1855,35473,508,49,37,171.8,16.6,12.5
Jun 1855,38863,802,209,31,247.6,64.5,9.6
Jul 1855,42647,382,134,33,107.5,37.7,9.3
Aug 1855,44614,483,164,25,129.9,44.1,6.7
Sep 1855,47751,189,276,20,47.5,69.4,5
Oct 1855,46852,128,53,18,32.8,13.6,4.6
Nov 1855,37853,178,33,32,56.4,10.5,10.1
Dec 1855,43217,91,18,28,25.3,5,7.8
Jan 1856,44212,42,2,48,11.4,0.5,13
Feb 1856,43485,24,0,19,6.6,0,5.2
Mar 1856,46140,15,0,35,3.9,0,9.1
